CASEID,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,HOSPITAL,LOCS,ASSESSMENT,TESTING,TRANSITION,ANCILLARY,OTHER_SRVC,SRVC75,SRVC71,SRVC108,SRVC85,SRVC87,SRVC86,SRVC129,SRVC70,SRVC88,SRVC94,SRVC106,SRVC95,SRVC130,OTP,ONLYOUD,OPIOIDMAINT,OPIOIDWDRAW,OPIOIDDETOX,OPIOIDNAL,COMPSAT,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG21,LANG4,LANG5,LANG6,LANG7,LANG8,LANG24,LANG9,LANG10,LANG22,LANG25,LANG26,LANG11,LANG19,LANG23,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC30,SRVC34,SRVC33,SRVC64,SRVC63,SRVC62,SRVC113,SRVC114,SRVC115,SRVC61,SRVC31,SRVC32,SRVC116,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,EARMARK,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,REVCHK17,LOC5,LICEN,ACCRED,SRVC89,SRVC90,SRVC1,SRVC2,SRVC91,SRVC93,SRVC107,SRVC10,SRVC11,SRVC73,SRVC74,SRVC14,SRVC15,SRVC16,SRVC37,SRVC27,SRVC49,SRVC96,SRVC97,SRVC50,SRVC36,SRVC38,SRVC39,SRVC52,SRVC98,SRVC24,SRVC104,SRVC99,SRVC100,SRVC59,SRVC101,SRVC48,SRVC102,SRVC105,SRVC117,SRVC118,SRVC119,LICENSED,LICENMH,LICENPH,LICENHOS,JCAHO,CARF,NCQA,COA,HFAP,STFIPS
201804593,IL,0,1,2,,0,,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,0,0,D,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,D,0,0,0,0,1,0,17
201804594,IL,0,1,2,,0,,6,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,D,0,0,0,1,0,17
201804595,IL,0,1,2,,0,,3,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,17
201804596,IL,0,1,2,,0,,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,D,17
201804597,IL,0,1,4,,0,,7,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,17
201804598,IL,0,1,1,,0,,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,1,1,1,0,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17
201804599,IL,0,1,1,,0,,5,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17
201804600,IL,1,1,2,,0,,6,4,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,0,1,1,1,1,1,0,,,0,,,,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,17
201804601,IL,0,1,2,,0,,4,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,1,0,1,0,,,0,,,,1,0,0,1,1,1,0,1,D,0,0,1,1,1,1,1,D,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,D,D,D,D,D,D,D,D,17
201804602,IL,1,1,2,,0,,7,4,2,12,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,0,0,0,0,1,0,1,0,,,0,,,,1,1,1,0,1,1,0,1,1,0,1,1,1,1,D,0,D,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,17
201804603,IL,0,1,2,,0,,4,4,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,17
201804604,IL,1,1,1,,1,2,7,7,2,10,3,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,2,0,,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,,,,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,17
201804605,IL,0,1,2,,0,,6,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,D,0,0,1,D,D,D,17
201804606,IL,0,1,1,,0,,6,6,2,13,2,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,1,1,0,1,0,,,0,,,,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,17
201804607,IL,0,1,2,,0,,6,2,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,1,0,0,0,1,0,0,0,,,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,17
201804608,IL,0,1,1,,0,,4,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,D,D,0,0,0,0,0,0,17
201804609,IL,0,1,1,,0,,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,D,1,0,0,0,0,0,0,17
201804610,IL,0,1,2,,0,,5,1,1,7,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,,,,,,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,17
201804611,IL,0,1,2,,0,,1,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,17
201804612,IL,0,1,2,,0,,6,1,2,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,3,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,1,1,0,1,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,17
201804613,IL,1,1,1,,0,,7,7,2,11,3,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,17
201804614,IL,0,1,2,,0,,7,7,2,14,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,,,,,3,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,,,0,,,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,17
201804615,IL,0,1,2,,0,,6,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,17
201804616,IL,1,1,2,,0,,7,5,2,10,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,0,1,1,0,0,0,,,0,,,,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,17
201804617,IL,1,1,1,,0,,2,7,2,10,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,1,0,1,0,,,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,D,1,D,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,17
201804618,IL,0,1,2,,0,,2,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,M,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,0,,,,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,17
201804619,IL,1,1,1,,0,,6,7,2,11,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,1,0,0,0,,,0,,,,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,17
201804620,IL,0,1,2,,0,,4,2,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,2,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,17
201804621,IL,0,1,1,,0,,4,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,17
201804622,IL,0,1,1,,0,,5,2,2,2,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,17
201804623,IL,0,1,1,,0,,5,6,2,13,3,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,0,0,0,0,1,1,1,0,,,0,,,,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,17
201804624,IL,0,1,2,,0,,4,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,D,D,D,17
201804625,IL,0,1,1,,0,,6,2,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,1,1,0,1,1,1,1,0,,,0,,,,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,17
201804626,IL,0,1,1,,0,,4,2,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,17
